X,Y,OBJECTID,GIS_ID,Name,Location,PayAndDisplay,ParkingDistrict,AccessType,ParkingFacilityType,CountRegSpaces,CountDisabledSpaces,CountTotalSpaces,LastEditDate
479813.6584,4758943.1983,500,104,,South side of King St / East of Richmond St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479451.2413,4758809.3907,501,105,,South side of King St / East of Ridout St,Y,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479602.5907,4758864.8037,502,106,,South side of King St / East of Talbot St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479307.4668,4758756.8814,503,107,,South side of King St / East of Thames St,Y,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480170.2768,4759074.8082,504,108,,South side of King St / East of Wellington St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479597.0147,4760039.7313,505,109,,South side of Pall Mall St / East of Richmond St,N,Richmond Row,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479383.9241,4760217.5455,506,110,,South side of Piccadilly St / West of Richmond St,N,Richmond Row,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480168.5304,4759733.1566,507,111,,South side of Princess Ave / East of Waterloo St,N,North,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479304.2688,4759036.5734,508,112,,South side of Queens Ave (U Drive) / East of Ridout St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479882.9509,4759280.7939,509,113,,South side of Queens Ave / East of Clarence St,Y,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479920.1865,4759294.986,510,113,,South side of Queens Ave / East of Clarence St,Y,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479719.5987,4759219.4096,511,114,,South side of Queens Ave / East of Richmond St,Y,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479378.5962,4759095.0445,512,115,,South side of Queens Ave / East of Ridout St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480094.7536,4759359.8398,513,116,,South side of Queens Ave / East of Wellington St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480155.2264,4759382.6016,514,117,,South side of Queens Ave / West of Waterloo St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480583.1455,4759315.5942,515,122,,West side of Burwell St / South of Dundas St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480632.7276,4759178.8199,516,123,,West side of Burwell St / South of King St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479686.1879,4759442.6208,517,125,,West side of Clarence St / South of Angel St,N,Richmond Row,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479727.8595,4759331.1105,518,126,,West side of Clarence St / South of Dufferin Ave,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479838.3218,4759030.8351,519,127,,West side of Clarence St / South of Dundas St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479878.3589,4758921.4284,520,128,,West side of Clarence St / South of King St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479786.5621,4759172.3221,521,129,,West side of Clarence St / South of Queens Ave,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480470.7662,4759282.6842,522,130,,West side of Colborne St / South of Dundas St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480423.1897,4759409.6638,523,131,,West side of Colborne St / South of Queens Ave,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
481356.8306,4759633.2117,524,132,,West side of Lyle St / South of Dundas St,N,East London,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479447.6429,4760091.9634,525,133,,West side of Richmond St / North of Mill St,Y,Richmond Row,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479552.8126,4759621.7971,526,134,,West side of Richmond St / South of Albert St,Y,Richmond Row,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479550.9411,4759686.9034,527,135,,West side of Richmond St / South of Central Ave,Y,Richmond Row,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479538.3858,4759858.0425,528,136,,West side of Richmond St / South of Hyman St,Y,Richmond Row,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479556.1341,4759483.5621,529,137,,West side of Richmond St / South of Kent St,Y,Richmond Row,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479500.0318,4759960.1363,530,138,,West side of Richmond St / South of Mill St,Y,Richmond Row,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479305.7142,4758849.6221,531,139,,West side of Ridout St / South of Dundas St,Y,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479271.7723,4758947.3812,532,140,,West side of Ridout St / South of Queens Ave,Y,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479063.1531,4760594.0793,533,141,,West side of St George St / South of College Ave,N,North,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479076.2454,4760559.1301,534,141,,West side of St George St / South of College Ave,N,North,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479036.0365,4760667.1605,535,142,,West side of St George St / South of Grosvenor St,N,North,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479479.7054,4758920.9307,536,144,,West side of Talbot St / South of Dundas St,Y,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479428.2523,4759056.3628,537,145,,West side of Talbot St / South of Queens Ave,Y,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
